Status,Handle,ID,Name,Followers,Tweets,Date Created,Date Active,Image
Suspended,@AcadianaAntifa,821101105757163524,Acadiana Antifa,261,435,2017-01-16,2017-01-16,https://pbs.twimg.com/profile_images/821109684925071360/zyvqcrK6_normal.jpg
Suspended,@Adolf51358892,953341314925584384,Antifa-IN,4,7,2018-01-16,2018-01-16,https://pbs.twimg.com/profile_images/953342801235906561/qKmR2wxp_normal.jpg
Suspended,@afadjursholm,881598380396466176,AFA Djursholm,192,204,2017-07-02,2017-07-02,https://pbs.twimg.com/profile_images/881605786421645312/JqcOiOqA_normal.jpg
Suspended,@AfricaAntifa,927863990176317441,Yamcha,20,356,2017-11-07,2017-11-07,https://pbs.twimg.com/profile_images/1015829816606691334/frHNyol-_normal.jpg
Suspended,@AjBenz31,913549921755828224,Aj Benz 🌹,12,33,2017-09-28,2017-09-28,https://pbs.twimg.com/profile_images/913551685561315328/sG1UD3rY_normal.jpg
Suspended,@Altleft13,897911496134492166,Antifa NC,27,48,2017-08-16,2017-08-16,https://pbs.twimg.com/profile_images/897918439146356736/dov4b22w_normal.jpg
Suspended,@ann_tiffa,1273724587801563138,Ann Tiffa,0,2,2020-06-18,2020-06-18,https://pbs.twimg.com/profile_images/1273725120830373890/1s5rZhdP_normal.jpg
Suspended,@antifa_305,869729696258371584,Antifa 305,2,15,2017-05-30,2017-05-30,https://pbs.twimg.com/profile_images/869730732482195456/JcHfz1jZ_normal.jpg
Suspended,@antifa_dc,1270934305951428608,Not Antifa,25,6,2020-06-10,2020-06-10,https://pbs.twimg.com/profile_images/1271165656759754753/Rn19a5UY_normal.jpg
Suspended,@antifa_detroit,1019942010000674819,Detroit ANTIFA,19,244,2018-07-19,2018-07-19,https://pbs.twimg.com/profile_images/1037016824427237376/jczfvrxF_normal.jpg
Suspended,@ANTIFA_IRELAND,862786536726814727,John Hiccuck,18,66,2017-05-11,2017-05-11,https://pbs.twimg.com/profile_images/863142170995380224/TQvHXed4_normal.jpg
Suspended,@antifa_mom,828104329257185284,antifa soccer mom,0,1,2017-02-04,2017-02-04,https://pbs.twimg.com/profile_images/828324167611080704/vulGOiWT_normal.jpg
Suspended,@Antifa_NewsNet,875174088347537408,Antifa News Network,9,138,2017-06-14,2017-06-14,https://pbs.twimg.com/profile_images/875178599237566464/qV9AirTq_normal.jpg
Suspended,@Antifa_North,899621345843171328,Antifa North,0,28,2017-08-21,2017-08-21,https://pbs.twimg.com/profile_images/899622218535010305/IjhilNaf_normal.jpg
Suspended,@ANTIFA_STPAUL,854198209249411072,ANTIFA ST PAUL,2,2,2017-04-17,2017-04-17,https://pbs.twimg.com/profile_images/854199281561083904/yP8jHusM_normal.jpg
Suspended,@antifa_uk,876442847691538432,ANTIFA UK,53,37,2017-06-18,2017-06-18,https://pbs.twimg.com/profile_images/914102536520552449/HUY0zE33_normal.jpg
Suspended,@antifa502,851416081583550465,Louisville Antifa,59,23,2017-04-10,2017-04-10,https://pbs.twimg.com/profile_images/851421081378402304/4KwyPEx3_normal.jpg
Suspended,@AntifaAz,828412471912329217,Az Antifa Front,19,84,2017-02-05,2017-02-05,https://pbs.twimg.com/profile_images/828415137732292608/JNqifkJ5_normal.jpg
Suspended,@AntifaBali,899588748693864448,Bali Antifa,21,1,2017-08-21,2017-08-21,https://pbs.twimg.com/profile_images/899589592306864129/eC0Xh0M__normal.jpg
Suspended,@antifabuffaloNY,827490970338000896,REDHATS,15,1198,2017-02-03,2017-02-03,https://pbs.twimg.com/profile_images/837509826720706560/_Mhee1A6_normal.jpg
Suspended,@AntifaCAL,908520493413625856,Antifa California,32,166,2017-09-14,2017-09-14,https://pbs.twimg.com/profile_images/908521369171763201/-6C91fTI_normal.jpg
